ID,NameProduct,Price,StrPrice,Type,Title,Description,Details1,Details2,Details3,Details4,Details5,Details6,Details7,Details8,Details9,Details10
43,Azur Lane Le Malin (The Blade That Protects Vichya Dominion) 1/7 Scale Figure,11519,"11,519",Merchandise,Figure,"Le Malin, from the Azur Lane video game, is ready to fight with The Blade That Protect Vichya Dominion figure by Mimeyoi. Standing over 9 inches tall, Le Malin features a highly detailed sculpt and includes several beach accessories.",Product Details:,Size: 9.45 inches (24cm),Material: ABS and PVC,,,,,,,
44,Azur Lane Baltimore 1/7 Scale Figure,15469,"15,469",Merchandise,Figure,From the Azur Lane video game come a new figure of Baltimore! She has been sulpted with great detail and stands over 10 inches tall. This 1/7 Scale figure is ready for battle with her weapons on full display.,Product Details:,Size: 10.24 inches (26cm),Material: ABS and PVC,,,,,,,
45,Azur Lane Dido (Light Edition Ver.) 1/7 Scale Figure,9059,"9,059",Merchandise,Figure,Light cruiser Dido has been recreated based on the video game Azur Lane! Dido is depicted wearing her maid outfit with a cute and dignified expression while holding the cursed big sword and the cursed doll.,Product Details:,Size: 9.84 inches (25cm),Material: ABS and PVC,,,,,,,
46,Azur Lane Dido (Heavy Edition Ver.) 1/7 Scale Figure,14909,"14,909",Merchandise,Figure,From the popular video game Azur Lane comes a detailed figure of the light cruiser Dido. With careful attention her she was faithfully recreated from her expression and royal maid clothes to the cursed sword and doll.,Product Details:,Size: 9.84 inches (25cm),Material: ABS and PVC,,,,,,,
47,Azur Lane Le Malin (The Blade That Protects Vichya Dominion) TF Edition 1/7 Scale Figure,10000,"10,000",Merchandise,Figure,"Le Malin, from the Azur Lane video game, is ready to fight with The Blade That Protect Vichya Dominion figure by Mimeyoi. Standing over 9 inches tall, Le Malin features a highly detailed sculpt that looks great from any angle.",Product Details:,Size: 9.45 inches (24cm),Material: ABS and PVC,,,,,,,
48,Princess Connect! Re:Dive – Eriko 1/7 Scale Figure,7559,"7,559",Merchandise,Figure,"From the popular smartphone game ""Princess Connect! Re: Dive"" comes a scale figure of Twilight Caravan member Eriko! Based on her 3★ illustration from the game, Eriko's charming cuteness and dubious expression have been faithfully captured in figure form.",Product Details:,Size: 9.45 inches (24cm),Material: ABS and PVC,,,,,,,
49,Princess Connect! Re:Dive – Nendoroid Kyoka,2069,"2,069",Merchandise,Figure,"From the popular smartphone game ""Princess Connect! Re: Dive"" comes a Nendoroid of Kyoka, member of the Little Lyrical guild! She comes with three face plates including a cute smiling expression, a determined expression for combat scenes and a flustered expression.",Product Details:,Size: 3.93 inches (10cm),Material: ABS and PVC,,,,,,,
50,Princess Connect! Re:Dive Miyako Izumo (It's Snack Time Ver.) 1/7 Scale Figure,9459,"9,459",Merchandise,Figure,"From the hit mobile game Princess Connect! Re:Dive comes a new figure of Miyako Izumo! Standing on top of a pile of sweets, it's time to dig in! Add this figure to your collection today!",Product Details:,Size: 11.81 inches (30cm),Material: ABS and PVC,,,,,,,
51,Princess Connect! Re: Dive F:Nex Karyl (Ver.2) 1/7 Scale Figure,11349,"11,349",Merchandise,Figure,"From the popular Princess Connect! Re:Dive video game comes this new 1/7 scale figure of Karyl! Featured in her iconic outfit, she is equipped with her staff and spellbook and has translucent effects surrounding her.",Product Details:,Size: 8.86 inches (22.50cm),Material: plastic,,,,,,,
52,Princess Connect! Re: Dive F:Nex Karyl (New Year) 1/7 Scale Figure,7569,"7,569",Merchandise,Figure,"From the popular Princess Connect! Re:Dive video game comes this 1/7 scale figure of Karyl in a beautiful New Year kimono! Measuring around 9 inches tall on her base, she wears a lovely flowing kimono with her hand held out, wearing some adorable cat ears as an accessory.",Product Details:,Size: 9.06 inches (23cm),Material: ABS and PVC,,,,,,,
53,Princess Connect! Re:Dive Lucrea Karyl (Summer Ver.) 1/7 Scale Figure,8123,"8,123",Merchandise,Figure,"From the Princess Connect! Re:Dive video game comes a 1/7 scale figure of Karyl! She is depicted sitting in an inner tube causing a big splash. Use the interchangeable parts to show her enjoying a summer cocktail, or about to take an unexpected dip in the water!",Product Details:,Size: 5.11 inches (13cm),Material: PVC,,,,,,,
54,Princess Connect! Re: Dive figma No.558 Karyl,4349,"4,349",Merchandise,Figure,"From the popular smartphone game ""Princess Connect! Re: Dive"" comes a figma of the sharp-tongued Gourmet Guild member, Karyl! Using the smooth yet poseable joints of figma, you can create a variety of poses and scenes.",Product Details:,Size: 5.51 inches (14cm),Material: plastic,,,,,,,
55,Princess Connect! Re: Dive F:Nex Karyl 1/7 Scale Figure,10439,"10,439",Merchandise,Figure,"From the popular Princess Connect! Re:Dive video game comes this new 1/7 scale figure of Karyl! Featured in her iconic outfit, she is equipped with her staff and spellbook and has translucent effects surrounding her.

",Product Details:,Size: 9.45 inches (24cm),Material: plastic,,,,,,,
56,Princess Connect! Re:Dive Shizuru Hoshino 1/7 Scale Figure,6819,"6,819",Merchandise,Figure,From the video game Princess Connect! Re:Dive comes this 1/7 Scale figure of Shizuru Hoshino with a sword in hand. Measuring about 9 inches tall she is sculpted in great detail with a smiling face!,Product Details:,Size: 8.54 inches (21.9cm),Material: PVC,,,,,,,
